Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.5650586462, -0.5045137916;"{""coordinates"": [-0.5045137916, 47.5650586462], ""type"": ""Point""}";2084516;SIMPLE;GRILLE;;
47.5726508993, -0.4888823118;"{""coordinates"": [-0.4888823118, 47.5726508993], ""type"": ""Point""}";2084471;SIMPLE;ROND;21.51;20.73
47.5728107359, -0.4889710686;"{""coordinates"": [-0.4889710686, 47.5728107359], ""type"": ""Point""}";2084470;SIMPLE;ROND;21.92;21.32
47.5728736607, -0.4890102037;"{""coordinates"": [-0.4890102037, 47.5728736607], ""type"": ""Point""}";2084466;SIMPLE;ROND;22.16;21.54
47.573087137, -0.4892041415;"{""coordinates"": [-0.4892041415, 47.573087137], ""type"": ""Point""}";2084464;SIMPLE;ROND;22.78;22.22
47.5731974799, -0.4893189105;"{""coordinates"": [-0.4893189105, 47.5731974799], ""type"": ""Point""}";2084460;SIMPLE;ROND;23.23;22.56
47.5733066562, -0.4894365303;"{""coordinates"": [-0.4894365303, 47.5733066562], ""type"": ""Point""}";2084459;SIMPLE;ROND;23.68;23.04
47.4963065715, -0.3191958116;"{""coordinates"": [-0.3191958116, 47.4963065715], ""type"": ""Point""}";2084453;SIMPLE;ROND;27.1;25.44
47.4963718108, -0.3192470515;"{""coordinates"": [-0.3192470515, 47.4963718108], ""type"": ""Point""}";2084451;SIMPLE;ROND;27.31;25.54
47.5734176283, -0.4895453547;"{""coordinates"": [-0.4895453547, 47.5734176283], ""type"": ""Point""}";2084424;SIMPLE;ROND;24.14;23.56
47.5738623495, -0.4899888276;"{""coordinates"": [-0.4899888276, 47.5738623495], ""type"": ""Point""}";2084423;SIMPLE;ROND;26.37;25.66
47.5739897645, -0.4900151828;"{""coordinates"": [-0.4900151828, 47.5739897645], ""type"": ""Point""}";2084415;SIMPLE;ROND;23.93;23.19
47.5741415336, -0.4902698585;"{""coordinates"": [-0.4902698585, 47.5741415336], ""type"": ""Point""}";2084413;SIMPLE;ROND;28.12;27.45
47.5743575627, -0.4905581737;"{""coordinates"": [-0.4905581737, 47.5743575627], ""type"": ""Point""}";2084411;SIMPLE;ROND;29.75;29.17
47.5747124624, -0.4908034859;"{""coordinates"": [-0.4908034859, 47.5747124624], ""type"": ""Point""}";2084409;SIMPLE;ROND;32.66;32.03
47.5749943588, -0.4909975558;"{""coordinates"": [-0.4909975558, 47.5749943588], ""type"": ""Point""}";2084403;SIMPLE;ROND;35.28;34.69
47.5752245052, -0.4911521603;"{""coordinates"": [-0.4911521603, 47.5752245052], ""type"": ""Point""}";2084396;SIMPLE;ROND;37.48;36.68
47.5755858869, -0.4914004358;"{""coordinates"": [-0.4914004358, 47.5755858869], ""type"": ""Point""}";2084395;SIMPLE;ROND;41.02;40.28
47.5757140238, -0.491489378;"{""coordinates"": [-0.491489378, 47.5757140238], ""type"": ""Point""}";2084392;SIMPLE;ROND;42.26;41.66
47.5757939069, -0.4915453362;"{""coordinates"": [-0.4915453362, 47.5757939069], ""type"": ""Point""}";2084391;SIMPLE;ROND;43.04;42.39
47.5758756712, -0.4915986245;"{""coordinates"": [-0.4915986245, 47.5758756712], ""type"": ""Point""}";2084390;SIMPLE;ROND;43.86;43.19
47.5760193995, -0.4916840714;"{""coordinates"": [-0.4916840714, 47.5760193995], ""type"": ""Point""}";2084387;SIMPLE;ROND;45.22;44.6
47.5761756785, -0.4917623628;"{""coordinates"": [-0.4917623628, 47.5761756785], ""type"": ""Point""}";2084384;SIMPLE;ROND;46.68;46.02
47.5762495791, -0.4917987677;"{""coordinates"": [-0.4917987677, 47.5762495791], ""type"": ""Point""}";2084379;SIMPLE;ROND;47.27;46.53
47.4957400006, -0.3195505219;"{""coordinates"": [-0.3195505219, 47.4957400006], ""type"": ""Point""}";2084377;SIMPLE;ROND;26.35;25.39
47.5763816502, -0.4918617594;"{""coordinates"": [-0.4918617594, 47.5763816502], ""type"": ""Point""}";2084375;SIMPLE;ROND;48.38;47.88
47.4957753833, -0.3194596144;"{""coordinates"": [-0.3194596144, 47.4957753833], ""type"": ""Point""}";2084371;SIMPLE;ROND;26.11;25.5
47.5765121943, -0.4919186633;"{""coordinates"": [-0.4919186633, 47.5765121943], ""type"": ""Point""}";2084370;SIMPLE;ROND;49.55;49
47.496285315, -0.3195188811;"{""coordinates"": [-0.3195188811, 47.496285315], ""type"": ""Point""}";2084362;SIMPLE;CARRE;27.77;26.71
47.5765792664, -0.4919486311;"{""coordinates"": [-0.4919486311, 47.5765792664], ""type"": ""Point""}";2084358;SIMPLE;ROND;50.11;49.56
