Geo Point;Geo Shape;NUMERO;TYPE;TYPE_RES;DIAMETRE;MATERIAU;LONGUEUR;ZAMONT;ZAVAL
47.37898517, -0.643951785;"{""coordinates"": [[-0.64417192, 47.3788575], [-0.64373165, 47.37911284]], ""type"": ""LineString""}";1036880;C;CANALISATION;300;BETON;43.71;16.203;15.927
47.379239534999996, -0.643600795;"{""coordinates"": [[-0.64373165, 47.37911284], [-0.64346994, 47.37936623]], ""type"": ""LineString""}";1036881;C;CANALISATION;300;BETON;34.41;15.877;15.794
47.379452495, -0.643380265;"{""coordinates"": [[-0.64346994, 47.37936623], [-0.64329059, 47.37953876]], ""type"": ""LineString""}";1036882;C;CANALISATION;300;BETON;23.48;15.794;15.716
47.3793273, -0.642930945;"{""coordinates"": [[-0.64329059, 47.37953876], [-0.6425713, 47.37911584]], ""type"": ""LineString""}";1036883;C;CANALISATION;300;BETON;71.84;15.706;15.365
47.40410051, -0.5213276899999999;"{""coordinates"": [[-0.52131431, 47.40411681], [-0.52134107, 47.40408421]], ""type"": ""LineString""}";1063440;C;CANALISATION;300;BETON;4.15;34.63;34.42
47.496057215, -0.43075213;"{""coordinates"": [[-0.43052331, 47.49600504], [-0.43098095, 47.49610939]], ""type"": ""LineString""}";1065145;C;CANALISATION;300;NC;36.38;35.09;34.7
47.496802835, -0.431153795;"{""coordinates"": [[-0.43078424, 47.49670784], [-0.43152335, 47.49689783]], ""type"": ""LineString""}";1065146;C;CANALISATION;400;NC;59.58;34.16;33.32
47.50027210499999, -0.42855722;"{""coordinates"": [[-0.4286408, 47.50011607], [-0.42847364, 47.50042814]], ""type"": ""LineString""}";1065147;C;CANALISATION;400;NC;36.91;34.96;34.89
47.500922285, -0.42891225999999993;"{""coordinates"": [[-0.4287819, 47.50083765], [-0.42904262, 47.50100692]], ""type"": ""LineString""}";1065148;C;CANALISATION;500;NC;27.2;34.56;34.47
47.500824124999994, -0.428797765;"{""coordinates"": [[-0.42881363, 47.5008106], [-0.4287819, 47.50083765]], ""type"": ""LineString""}";1065149;C;CANALISATION;0;NC;3.84;34.57;34.57
47.50070368, -0.42874706500000004;"{""coordinates"": [[-0.4286805, 47.50059676], [-0.42881363, 47.5008106]], ""type"": ""LineString""}";1065150;C;CANALISATION;400;NC;25.8;34.82;34.6
47.500624255000005, -0.428606485;"{""coordinates"": [[-0.42839934, 47.50043791], [-0.42881363, 47.5008106]], ""type"": ""LineString""}";1065151;C;CANALISATION;400;NC;51.87;34.75;34.66
47.50070815, -0.428637415;"{""coordinates"": [[-0.42864338, 47.50070284], [-0.42863145, 47.50071346]], ""type"": ""LineString""}";1065152;C;CANALISATION;0;NC;1.49;0;35.3
47.5009991, -0.429051215;"{""coordinates"": [[-0.42905981, 47.50099128], [-0.42904262, 47.50100692]], ""type"": ""LineString""}";1065153;C;CANALISATION;300;NC;2.17;34.73;34.67
