Geo Point;Geo Shape;GID;DIAMETRE;MATERIAU;DATEPOSE;RADIER;ZSURF;EXPLOIT;NUMERO
47.4779418914, -0.6087909582;"{""coordinates"": [-0.6087909582, 47.4779418914, 0], ""type"": ""Point""}";1433;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;35070
47.5659079428, -0.6067994104;"{""coordinates"": [-0.6067994104, 47.5659079428], ""type"": ""Point""}";1439;1000;BETON;1988-03-01;32.05;33.62;ANGERS LOIRE METROPOLE;35076
47.456965211, -0.605653319;"{""coordinates"": [-0.605653319, 47.456965211], ""type"": ""Point""}";1440;1000;BETON;1997-09-01;50.95;52.71;ANGERS LOIRE METROPOLE;35079
47.4267745277, -0.5502171898;"{""coordinates"": [-0.5502171898, 47.4267745277], ""type"": ""Point""}";1635;1000;BETON;1950-01-01;21.81;22.96;ANGERS LOIRE METROPOLE;35289
47.4570903454, -0.5221846357;"{""coordinates"": [-0.5221846357, 47.4570903454], ""type"": ""Point""}";1637;1000;BETON;1969-01-01;36.59;39.14;ANGERS LOIRE METROPOLE;35292
47.4342385877, -0.4961828443;"{""coordinates"": [-0.4961828443, 47.4342385877, 19.92], ""type"": ""Point""}";1210;1000;BETON;1990-10-01;19.1;19.92;Inconnu;34829
47.4746123304, -0.5228215932;"{""coordinates"": [-0.5228215932, 47.4746123304], ""type"": ""Point""}";1212;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;34831
47.4431034556, -0.4821109269;"{""coordinates"": [-0.4821109269, 47.4431034556, 0], ""type"": ""Point""}";415;1000;BETON;1982-08-01;19.62;20.87;ANGERS LOIRE METROPOLE;33972
47.4751008526, -0.5515747771;"{""coordinates"": [-0.5515747771, 47.4751008526], ""type"": ""Point""}";416;1000;BETON;1978-05-01;18.38;19.97;ANGERS LOIRE METROPOLE;33973
47.5324856087, -0.6243801622;"{""coordinates"": [-0.6243801622, 47.5324856087, 0], ""type"": ""Point""}";522;1000;BETON;1983-11-01;65.29;66.93;ANGERS LOIRE METROPOLE;34084
