Geo Point;Geo Shape;GID;MATERIAU;DATEPOSE;ECOUNORM;ZAMONT;ZAVAL;EXPLOIT;LONGUEUR;DIAMETRE;NUMERO
47.5154843469, -0.4769061458;"{""coordinates"": [[-0.4770807587, 47.5155661583], [-0.4767315329, 47.5154025355]], ""type"": ""LineString""}";28611;PVC;19940201000000;GRAVITAIRE;34.7;34.51;ANGERS LOIRE METROPOLE;31.98;200;164454
47.48246881845, -0.55308416525;"{""coordinates"": [[-0.55293418, 47.4827154186], [-0.5532341505, 47.4822222183]], ""type"": ""LineString""}";26857;PVC;20080601000000;GRAVITAIRE;16.79;16.58;ANGERS LOIRE METROPOLE;59.31;250;162700
47.4856828461, -0.51215638545;"{""coordinates"": [[-0.5125056689, 47.4858044015], [-0.511807102, 47.4855612907]], ""type"": ""LineString""}";27907;PVC;19860901000000;GRAVITAIRE;44.48;44.02;ANGERS LOIRE METROPOLE;59.18;200;163750
47.42556243340001, -0.5536967182999999;"{""coordinates"": [[-0.5537036253, 47.425554612], [-0.5536898113, 47.4255702548]], ""type"": ""LineString""}";27908;AC;19500101000000;GRAVITAIRE;0;23.56;ANGERS LOIRE METROPOLE;2.03;150;163751
47.52521244585, -0.6062420535;"{""coordinates"": [[-0.6066708099, 47.5252530933], [-0.6058132971, 47.5251717984]], ""type"": ""LineString""}";28188;AC;19500101000000;GRAVITAIRE;47.96;47.16;ANGERS LOIRE METROPOLE;65.2;300;164031
47.5659153038, -0.50747063495;"{""coordinates"": [[-0.5073340786, 47.5660167738], [-0.5076071913, 47.5658138338]], ""type"": ""LineString""}";28190;AC;19760101000000;GRAVITAIRE;18.82;18.73;ANGERS LOIRE METROPOLE;30.52;150;164033
47.47928134165001, -0.55079120245;"{""coordinates"": [[-0.5504870412, 47.4791501401], [-0.5510953637, 47.4794125432]], ""type"": ""LineString""}";7052;PVC;19980101000000;GRAVITAIRE;18.65;18.42;ANGERS LOIRE METROPOLE;54.34;200;142895
47.52778419495, -0.5971704764;"{""coordinates"": [[-0.5972454787, 47.5278403881], [-0.5970954741, 47.5277280018]], ""type"": ""LineString""}";6368;AC;19800101000000;GRAVITAIRE;33.5;32.71;ANGERS LOIRE METROPOLE;16.84;200;142211
47.459550211599996, -0.5388941738499999;"{""coordinates"": [[-0.5388430236, 47.4594809624], [-0.5389453241, 47.4596194608]], ""type"": ""LineString""}";27775;PVC;19850701000000;GRAVITAIRE;40.79;40.69;ANGERS LOIRE METROPOLE;17.22;200;163618
47.535373570299996, -0.5668829187;"{""coordinates"": [[-0.5670912486, 47.5355205709], [-0.5666745888, 47.5352265697]], ""type"": ""LineString""}";28199;PVC;19901101000000;GRAVITAIRE;30.86;30.16;ANGERS LOIRE METROPOLE;43.85;200;164042
47.473915057, -0.5504840732;"{""coordinates"": [[-0.5504905679, 47.473909905], [-0.5504775785, 47.473920209]], ""type"": ""LineString""}";28732;AC;19800901000000;GRAVITAIRE;0;18.72;ANGERS LOIRE METROPOLE;1.51;150;164575
47.450843354087255, -0.5609156905740877;"{""coordinates"": [[-0.5602590004, 47.4505383481], [-0.5603986634, 47.4505959889], [-0.5615694067, 47.4511550474]], ""type"": ""LineString""}";26343;F;19500101000000;GRAVITAIRE;0;0;ANGERS LOIRE METROPOLE;120.3;350;162186
47.4524355307, -0.55313860365;"{""coordinates"": [[-0.5531663782, 47.4525887375], [-0.5531108291, 47.4522823239]], ""type"": ""LineString""}";27915;AC;19500101000000;GRAVITAIRE;30.12;29.83;ANGERS LOIRE METROPOLE;34.32;150;163758
47.47434361395, -0.5486386122;"{""coordinates"": [[-0.5485492629, 47.4744224897], [-0.5487279615, 47.4742647382]], ""type"": ""LineString""}";26648;AC;19701001000000;GRAVITAIRE;20.53;19.83;ANGERS LOIRE METROPOLE;22.11;150;162491
47.4699057853, -0.53788601015;"{""coordinates"": [[-0.5380860411, 47.4699871754], [-0.5376859792, 47.4698243952]], ""type"": ""LineString""}";2898;AC;19820101000000;GRAVITAIRE;0;38.27;NON PRIS GESTION;35.17;150;138741
47.5056518087, -0.52699058465;"{""coordinates"": [[-0.5268864871, 47.5055900683], [-0.5270946822, 47.5057135491]], ""type"": ""LineString""}";24296;PVC;19950101000000;GRAVITAIRE;14.15;0;ANGERS LOIRE METROPOLE;20.84;315;160139
47.4567027688, -0.6619538287;"{""coordinates"": [[-0.6622929025, 47.4565610368], [-0.6616147549, 47.4568445008]], ""type"": ""LineString""}";3823;PVC;19860101000000;GRAVITAIRE;73.59;73.4;ANGERS LOIRE METROPOLE;60.06;200;139666
