X,Y,OBJECTID,asset_id,system_type,invert_level_nzvd2016,invert_level_wgtn1953,chamber_floor_depth,cover_level_nzvd2016,cover_level_wgtn1953,node_type,manhole_type,status,location,kcdc_histo_id,year_installed
1769990.947,5473375.6115,13010052,KWWN000901,Wastewater,9.64,10,0.5,10.14,10.5,WWCE,,INUS,Waikanae,WSM00925,1979
1781288.432,5485525.6965,13010053,KWWN000300,Wastewater,9.06,9.43,2.15,11.21,11.58,WWMH,,INUS,Otaki,OSM00375,1978
1780489.763,5485577.3565,13010054,KWWN000256,Wastewater,4.89,5.26,2.55,7.44,7.81,WWMH,,INUS,Otaki,OSM00724,1978
1780379.142,5486068.2255,13010055,KWWN000156,Wastewater,5.98,6.35,1.59,7.57,7.94,WWMH,,INUS,Otaki,OSM00278,1976
1769608.713,5473948.4525,13010056,KWWN000843,Wastewater,3.08,3.44,1.56,4.64,5,WWMH,,INUS,Waikanae,WSM00861,1974
1781254.993,5485789.6175,13010057,KWWN000294,Wastewater,8.79,9.16,1.62,10.41,10.78,WWMH,,INUS,Otaki,OSM00369,1977
1779735.058,5486358.5205,13010058,KWWN000131,Wastewater,2.29,2.66,2.55,4.84,5.21,WWMH,,INUS,Otaki,OSM00202,1977
1781061.562,5486718.5355,13010059,KWWN000420,Wastewater,8.6,8.97,1.19,9.79,10.16,WWMH,,INUS,Otaki,OSM00794,1977
1780824.345,5485455.4335,13010060,KWWN000248,Wastewater,,,,,,WWMH,,INUS,Otaki,OSM00592,1979
1780830.926,5484916.4505,13010061,KWWN000067,Wastewater,7.38,7.75,3.45,10.83,11.2,WWMH,,INUS,Otaki,OSM00336,1978
1779527.423,5486342.5605,13010062,KWWN000128,Wastewater,2.2,2.57,2.1,4.3,4.67,WWMH,,INUS,Otaki,OSM00199,1978
1781414.072,5486145.8775,13010063,KWWN000707,Wastewater,5.82,6.19,2.7,8.52,8.89,WWMH,,INUS,Otaki,OSM00607,1978
1780805.537,5486296.9025,13010064,KWWN000362,Wastewater,5.97,6.34,2.31,8.28,8.65,WWMH,,INUS,Otaki,OSM00256,1977
1781505.288,5486129.3055,13010065,KWWN000715,Wastewater,6.86,7.24,1.52,8.39,8.76,WWMH,,INUS,Otaki,OSM00615,1978
1778156.002,5486855.3405,13010066,KWWN000011,Wastewater,-0.91,-0.54,2.77,1.86,2.23,WWMH,,INUS,Otaki,OSM00189,1977
1780567.336,5486897.5015,13010067,KWWN000336,Wastewater,4.52,4.89,1.38,5.9,6.27,WWMH,,INUS,Otaki,OSM00216,1977
1780885.984,5486420.5015,13010068,KWWN000398,Wastewater,6.02,6.39,2.11,8.13,8.5,WWMH,,INUS,Otaki,OSM00245,1977
1774473.587,5473348.1565,13010069,KWWN000990,Wastewater,33.65,34,1.28,34.93,35.28,WWMH,,INUS,Waikanae,WSM00292,1978
1780337.267,5485522.0765,13010070,KWWN000238,Wastewater,4.27,4.64,3.4,7.67,8.04,WWMH,,INUS,Otaki,OSM00326,1978
1781066.711,5484733.3135,13010071,KWWN000086,Wastewater,9.35,9.72,3.15,12.5,12.88,WWMH,,INUS,Otaki,OSM00568,1978
1778953.844,5488046.5325,13010072,KWWN000612,Wastewater,0.38,0.75,2.55,2.93,3.3,WWMH,,INUS,Otaki,OSM00670,1978
1769927.965,5473422.0595,13010073,KWWN000904,Wastewater,1.92,2.27,1.61,3.53,3.88,WWMH,,INUS,Waikanae,WSM00928,1979
1782600.042,5485962.9625,13010074,KWWN000763,Wastewater,26.38,26.76,2.1,28.48,28.86,WWMH,,INUS,Otaki,OSM00433,1978
1783140.054,5485886.6215,13010075,KWWN000801,Wastewater,37.33,37.71,1.82,39.15,39.53,WWMH,,INUS,Otaki,OSM00446,1977
1781819.22,5485427.3935,13010076,KWWN000695,Wastewater,10.74,11.12,1.77,12.51,12.89,WWMH,,INUS,Otaki,OSM00410,1978
1778310.56,5486589.4695,13010077,KWWN000050,Wastewater,0.45,0.82,1.4,1.85,2.22,WWMH,,INUS,Otaki,OSM00187,1977
1781373.626,5486076.0805,13010078,KWWN000684,Wastewater,6.56,6.94,2.49,9.05,9.43,WWMH,,INUS,Otaki,OSM00355,1978
1778128.922,5487184.9645,13010079,KWWN000426,Wastewater,2.38,2.75,2.1,4.48,4.85,WWMH,,INUS,Otaki,OSM00635,1978
1778852.154,5487380.6115,13010080,KWWN000195,Wastewater,7.62,7.99,1.06,8.68,9.05,WWMH,,INUS,Otaki,OSM00098,1978
1781347.227,5486244.8555,13010081,KWWN000282,Wastewater,6.57,6.95,1.92,8.49,8.87,WWMH,,INUS,Otaki,OSM00342,1977
1783084.623,5485673.9075,13010082,KWWN000822,Wastewater,37.56,37.93,1,38.56,38.93,WWMH,,INUS,Otaki,OSM00524,1979
1780700.955,5486071.0545,13010083,KWWN000164,Wastewater,7.02,7.39,1.63,8.65,9.02,WWMH,,INUS,Otaki,OSM00295,1976
1782544.095,5485300.4565,13010084,KWWN000522,Wastewater,11.79,12.17,2.75,14.54,14.92,WWMH,,INUS,Otaki,OSM00468,1978
1775063.954,5473650.6265,13010085,KWWN000546,Wastewater,56.86,57.21,1.46,58.32,58.67,WWMH,,INUS,Waikanae,WSM00057,1978
