OBJECTID,us_node_id,ds_node_id,asset_id,system_type,pipe_type,pipe_material,pipe_class,width,length,location,status,kcdc_histo_id,year_installed,GlobalID,SHAPE_Length
13253807,KWWN000023,KWWN006884,KWWP004201,Wastewater,WWMN,AC,,150,10.07015888,Otaki,INUS,OSG00559,1980,{006D4AA2-62D2-4C43-A05C-4FA2BD478E0E},10.0701047667102
13253808,KWWN000357,KWWN000358,KWWP005194,Wastewater,WWMN,AC,,150,43.66471722,Otaki,INUS,OSG00021,1980,{0156F80E-F7B2-4891-9E1E-9016CE23D8F3},43.664043937283
13253809,KWWN000374,KWWN000367,KWWP004435,Wastewater,WWMN,AC,,225,53.76315896,Otaki,INUS,OSG00830,1980,{01622564-305B-484B-9D74-E211463488FF},53.7628554395923
13253810,KWWN000303,KWWN000071,KWWP005216,Wastewater,WWMN,AC,,150,97.69086873,Otaki,INUS,OSG00583,1980,{01BBD6CE-937E-4497-8679-6E35E06B391C},97.6911706246921
13253811,KWWN000805,KWWN000527,KWWP000222,Wastewater,WWMN,AC,,150,88.33007041,Otaki,INUS,OSG00280,1980,{01CA1D54-3E72-4416-A986-25771C14C833},88.3296604311217
13253812,KWWN000620,KWWN000604,KWWP000196,Wastewater,WWMN,AC,,150,117.76964471,Otaki,INUS,OSG00211,1980,{01D9FB27-EEFE-4E05-9457-66FC07EF3E9C},117.769386599317
13253813,KWWN000071,KWWN000093,KWWP004264,Wastewater,WWMN,AC,,150,69.24147946,Otaki,INUS,OSG00626,1980,{01F0090C-4074-4175-BD0A-68708C5FC389},69.2407970562989
13253814,KWWN000045,KWWN000044,KWWP004210,Wastewater,WWMN,AC,,150,97.66140733,Otaki,INUS,OSG00568,1980,{029850EA-BABB-483B-9FD9-C55A3823ACCD},97.661388506103
13253815,KWWN000701,KWWN000702,KWWP000294,Wastewater,WWMN,PVC,,150,25.95849054,Otaki,INUS,OSG00382,1990,{02BDF723-FD66-42D2-9F68-76BF73FC9DC1},25.9590151009343
13253816,KWWN000325,KWWN000326,KWWP004408,Wastewater,WWMN,PVC,,100,38.38758871,Otaki,INUS,OSG00786,1980,{02CA0D22-D304-4DEB-9475-9396BA6870D4},38.3873084888927
13253817,KWWN000709,KWWN000710,KWWP000308,Wastewater,WWMN,AC,,150,78.00073708,Otaki,INUS,OSG00396,1980,{0365EC92-102F-47B1-9291-735AD1390CD4},78.0003898774864
13253818,KWWN000897,KWWN000898,KWWP002929,Wastewater,WWMN,AC,,150,31.87435233,Waikanae,INUS,WSG00090,1975,{03B2CE89-685F-4BB2-A374-5A20676417B1},31.8741187334637
